"season_order","position","ab","gp","pa","singles","doubles","triples","hr","tb","r","rbi","bb","ibb","so","hbp","sf","sh","gidp","sb","cs","ba","obp","slg","ops","k_percent","bb_percent","player_id"
191,MIL,1,57,,162,28,6,2,2,9,11,3,0,13,0,0,4,7,1,1,0,0,0,0,0,0,5
191,WSN,2,5,,4,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
192,LAA,1,100,,289,61,11,0,2,35,20,25,0,38,2,0,3,10,17,2,0,0,0,0,0,0,5
193,DET,1,137,,543,108,29,10,16,103,66,67,0,134,2,3,2,9,12,9,0,0,0,0,0,0,5
194,CHC,1,44,,120,10,6,1,4,14,9,22,0,59,0,0,0,1,0,3,0,0,0,0,0,0,5
195,ATL,1,55,,167,24,6,1,0,18,9,17,0,30,2,0,0,1,1,0,0,0,0,0,0,0,5
196,SEA,1,108,,294,50,19,2,10,41,50,56,1,51,5,5,1,6,5,0,0,0,0,0,0,0,5
197,STL,1,117,,443,105,22,4,4,70,40,34,3,71,15,1,9,9,19,7,0,0,0,0,0,0,5
198,TBR,1,132,,505,85,19,7,13,85,47,46,1,120,5,1,6,7,31,2,0,0,0,0,0,0,5
199,NYY,1,159,,683,169,32,0,15,99,58,45,1,90,5,1,6,24,9,4,0,0,0,0,0,0,5
200,HOU,1,92,,341,63,21,3,8,36,41,23,1,92,3,1,0,12,4,1,0,0,0,0,0,0,5
200,ARI,2,44,,147,26,7,2,7,12,35,8,1,40,1,3,1,6,1,0,0,0,0,0,0,0,5
201,TBR,1,123,,297,54,10,2,6,32,33,24,0,84,3,2,5,3,18,6,0,0,0,0,0,0,5
202,TOR,1,142,,507,77,19,2,16,61,55,62,4,159,5,4,2,8,14,2,0,0,0,0,0,0,5
203,BAL,1,38,,87,10,4,0,4,9,11,11,0,26,4,0,0,4,2,0,0,0,0,0,0,0,5
204,CHC,1,76,,169,36,9,3,3,23,16,10,1,43,4,0,0,3,2,1,0,0,0,0,0,0,5
204,ATL,2,43,,100,22,5,0,0,7,4,3,0,18,2,0,0,1,0,1,0,0,0,0,0,0,5
